Aged Payables Summary
Yanille Trading Pty Ltd
As at 30 June 2026
Ageing by due date

Contact,Current,< 1 Month,1 Month,2 Months,3 Months,Older,Total

Aged Payables,,,,,,,
Alpha Hardware Supplies,2340.00,0.00,0.00,0.00,0.00,0.00,2340.00
Beta IT & Cloud Services,0.00,890.00,0.00,0.00,0.00,0.00,890.00
Gamma Equipment Hire,0.00,0.00,1450.00,600.00,0.00,0.00,2050.00
Omega Wholesale Supplies,-250.00,0.00,0.00,0.00,0.00,0.00,-250.00
Total Aged Payables,2090.00,890.00,1450.00,600.00,0.00,0.00,5030.00

Total,2090.00,890.00,1450.00,600.00,0.00,0.00,5030.00

Percentage of total,41.55,17.69,28.83,11.93,0.00,0.00,100.00
